INFO 2025-10-21 07:25:50,586 autoreload 30596 35496 Watching for file changes with StatReloader
INFO 2025-10-21 07:42:11,216 basehttp 8716 34440 "GET /api/users/users/ HTTP/1.1" 200 14607
INFO 2025-10-21 07:42:11,232 basehttp 8716 34440 "GET /api/users/users/ HTTP/1.1" 200 14607
INFO 2025-10-21 07:42:11,316 basehttp 8716 34440 "GET /api/courses/departments/ HTTP/1.1" 200 830
INFO 2025-10-21 07:42:11,340 basehttp 8716 34440 "GET /api/courses/departments/ HTTP/1.1" 200 830
INFO 2025-10-21 07:43:17,354 basehttp 8716 34440 "OPTIONS /api/users/auth/me/ HTTP/1.1" 200 0
INFO 2025-10-21 07:43:17,369 basehttp 8716 34440 "GET /api/users/auth/me/ HTTP/1.1" 200 325
INFO 2025-10-21 07:43:17,467 basehttp 8716 34440 "GET /api/users/users/ HTTP/1.1" 200 14607
INFO 2025-10-21 07:43:17,484 basehttp 8716 34440 "GET /api/users/users/ HTTP/1.1" 200 14607
INFO 2025-10-21 07:43:17,565 basehttp 8716 34440 "GET /api/courses/departments/ HTTP/1.1" 200 830
INFO 2025-10-21 07:43:17,589 basehttp 8716 34440 "GET /api/courses/departments/ HTTP/1.1" 200 830
INFO 2025-10-21 07:43:33,473 basehttp 8716 34440 "OPTIONS /api/users/auth/me/ HTTP/1.1" 200 0
INFO 2025-10-21 07:43:33,483 basehttp 8716 34440 "GET /api/users/auth/me/ HTTP/1.1" 200 325
INFO 2025-10-21 07:43:33,654 basehttp 8716 34440 "OPTIONS /api/users/users/ HTTP/1.1" 200 0
INFO 2025-10-21 07:43:33,658 basehttp 8716 33132 "OPTIONS /api/users/users/ HTTP/1.1" 200 0
INFO 2025-10-21 07:43:33,671 basehttp 8716 34440 "GET /api/users/users/ HTTP/1.1" 200 14607
INFO 2025-10-21 07:43:33,683 basehttp 8716 33132 "GET /api/users/users/ HTTP/1.1" 200 14607
INFO 2025-10-21 07:43:33,759 basehttp 8716 33132 "GET /api/courses/departments/ HTTP/1.1" 200 830
INFO 2025-10-21 07:43:33,775 basehttp 8716 34440 "GET /api/courses/departments/ HTTP/1.1" 200 830
INFO 2025-10-21 07:43:56,430 basehttp 8716 34440 "OPTIONS /api/users/auth/me/ HTTP/1.1" 200 0
INFO 2025-10-21 07:43:56,440 basehttp 8716 34440 "GET /api/users/auth/me/ HTTP/1.1" 200 325
INFO 2025-10-21 07:43:56,614 basehttp 8716 34440 "GET /api/users/users/ HTTP/1.1" 200 14607
INFO 2025-10-21 07:43:56,631 basehttp 8716 33132 "GET /api/users/users/ HTTP/1.1" 200 14607
INFO 2025-10-21 07:43:56,681 basehttp 8716 33132 "GET /api/courses/departments/ HTTP/1.1" 200 830
INFO 2025-10-21 07:43:56,701 basehttp 8716 34440 "GET /api/courses/departments/ HTTP/1.1" 200 830
INFO 2025-10-21 07:44:03,309 basehttp 8716 34440 "OPTIONS /api/users/auth/me/ HTTP/1.1" 200 0
INFO 2025-10-21 07:44:03,321 basehttp 8716 34440 "GET /api/users/auth/me/ HTTP/1.1" 200 325
INFO 2025-10-21 07:44:03,482 basehttp 8716 34440 "GET /api/users/users/ HTTP/1.1" 200 14607
